Type,Comment,Value
domain,PureLogs Stealer botnet C2 domain (confidence level: 100%),purelog.duckdns.org
url,Formbook botnet C2 (confidence level: 50%),http://www.dmiralx-rrx.top/da16/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),amazbingjourneys.cyou
domain,Astaroth botnet C2 domain (confidence level: 100%),blorol.claudiacampos.express
domain,DarkWatchman botnet C2 domain (confidence level: 100%),4ad74aab.online
url,Phorpiex botnet C2 (confidence level: 50%),http://ugoheoheufefuei.ru/
domain,BumbleBee botnet C2 domain (confidence level: 100%),7iwrjx9gz0.click
domain,BumbleBee botnet C2 domain (confidence level: 100%),ybc5iluw3c.click
url,Lumma Stealer botnet C2 (confidence level: 50%),https://coczyhome.cyou/api
domain,BumbleBee botnet C2 domain (confidence level: 100%),am7gd0loc1.click
domain,ClearFake payload delivery domain (confidence level: 100%),check.aaao.site
domain,Gozi botnet C2 domain (confidence level: 100%),la70dolly98.email
domain,AsyncRAT botnet C2 domain (confidence level: 100%),nfasyn.duckdns.org
domain,BumbleBee botnet C2 domain (confidence level: 100%),689c3d8ylq.click
domain,Joker botnet C2 domain (confidence level: 100%),prankfun.cc
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),151.242.140.145|40500
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),182.183.201.194|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),9203ebc7.site
domain,DarkComet botnet C2 domain (confidence level: 100%),kaank11.zapto.org
domain,Phorpiex botnet C2 domain (confidence level: 50%),udunfjgussiideiei.su
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),vwisionarythinkers.click
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fb21070e.shop
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),nft.megaeth.com
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),51.89.158.68|8808
domain,Formbook botnet C2 domain (confidence level: 50%),www.itpandasecurity.info
domain,Matanbuchus botnet C2 domain (confidence level: 50%),genericfixer.com
ip-dst|port,Unknown malware botnet C2 server (confidence level: 75%),138.124.110.255|2115
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),134.122.74.160|31337
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),217.30.162.161|40500
url,Lumma Stealer botnet C2 (confidence level: 100%),https://brightncove.cyou/api
domain,Formbook botnet C2 domain (confidence level: 50%),www.leaning-jobs-60467.bond
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f56f122f.space
url,ClearFake payload delivery URL (confidence level: 100%),https://check.jokingly.store/gkcxv.google
domain,Formbook botnet C2 domain (confidence level: 50%),www.tmustbenice.net
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),62.209.152.28|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f45848da.fun
domain,BumbleBee botnet C2 domain (confidence level: 100%),b8w2qcig4n.click
url,Formbook botnet C2 (confidence level: 50%),http://www.ljoy.online/ty25/
url,Unknown malware payload delivery URL (confidence level: 50%),https://claim.usetapestry.world/
url,Formbook botnet C2 (confidence level: 50%),http://www.pkbike.shop/c07e/
domain,Remcos botnet C2 domain (confidence level: 50%),tricodersvault.duckdns.org
domain,NetWire RC botnet C2 domain (confidence level: 100%),adidogoo.duckdns.org
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),70.31.125.100|2222
url,Formbook botnet C2 (confidence level: 50%),http://www.foodieonline.club/n8it/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),brightsmorning.help
domain,AsyncRAT botnet C2 domain (confidence level: 50%),ftp.qurvegraphics.com
md5,Clop payload (confidence level: 50%),6eefc88ee224f3e787c54a462cb89d27
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),217.30.169.113|40500
domain,NjRAT botnet C2 domain (confidence level: 100%),environmental-seeds.gl.at.ply.gg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),143.198.3.13|443
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f6767618.space
url,Stealc payload delivery URL (confidence level: 50%),http://147.45.47.86/12182f9d6e8b5491/vcruntime140.dll
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f0d42d3b.site
md5,Trigona payload (confidence level: 50%),5c1ef3e67167dc9d4ad2af212f59fd4c
url,ClearFake payload delivery URL (confidence level: 100%),https://check.rexie.icu/gkcxv.google
ip-dst|port,ERMAC botnet C2 server (confidence level: 100%),89.248.168.31|8080
url,Formbook botnet C2 (confidence level: 50%),http://www.28zu740aud.shop/gd08/
domain,BADBOX botnet C2 domain (confidence level: 100%),pixelscast.com
url,ClearFake payload delivery URL (confidence level: 100%),https://check.uhxkj.space/gkcxv.google
url,Phorpiex botnet C2 (confidence level: 50%),http://riifndisojdojefi.net/
domain,CyberGate botnet C2 domain (confidence level: 100%),gerito-ao.no-ip.org
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ffd9a037.store
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),8.220.137.161|443
url,ClearFake payload delivery URL (confidence level: 100%),https://check.stress2.xyz/gkcxv.google
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),styvlishbrowsing.cyou
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),107.170.60.30|6000
url,ClearFake payload delivery URL (confidence level: 50%),https://check.rofai.site/
url,Phorpiex botnet C2 (confidence level: 50%),http://udunfjgussiidei.ru/
domain,Mirai botnet C2 domain (confidence level: 50%),cnc.axonstress.fun
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),94.103.125.153|1888
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),94.23.84.20|80
domain,DarkWatchman botnet C2 domain (confidence level: 100%),791688a4.space
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fa241d16.online
url,Formbook botnet C2 (confidence level: 50%),http://www.aturalsvr.online/ty25/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),9243e231.site
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),58.138.196.74|40500
url,Formbook botnet C2 (confidence level: 50%),http://www.etchip.cloud/ty25/
domain,BumbleBee botnet C2 domain (confidence level: 100%),h3p2sxyyk8.click
domain,BumbleBee botnet C2 domain (confidence level: 100%),g5nsteyp5i.click
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f6767618.site
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),24.199.109.180|443
url,ClearFake botnet C2 (confidence level: 100%),http://80.64.30.238/trip.psd
domain,CyberGate botnet C2 domain (confidence level: 100%),kamaro.no-ip.org
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),delightfupljourneys.click
domain,Formbook botnet C2 domain (confidence level: 50%),www.yfurbabystore.shop
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f1e377ce.store
domain,ClearFake payload delivery domain (confidence level: 100%),check.yejuo.site
domain,ClearFake botnet C2 domain (confidence level: 50%),check.oiwea.site
domain,Quasar RAT botnet C2 domain (confidence level: 100%),jungsystem.zapto.org
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),greedymonajs.click
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),89.249.62.233|40500
url,Formbook botnet C2 (confidence level: 50%),http://www.ailorsuccess.online/b101/
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),111.90.150.120|21
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f34e1d11.space
url,Lumma Stealer botnet C2 (confidence level: 100%),https://libraryuehd.click/api
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),100.95.13.221|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f43f4d52.shop
domain,Formbook botnet C2 domain (confidence level: 50%),www.iztrip.xyz
